ADD,PUSH,POP,OR,ADC,SBB,AND,ES,DAA,SUB,CS,DAS,XOR,SS,AAA,CMP,DS,AAS,PUSHA,PUSHAD,class
3.588167,10.479548,100,5.35038,0,6.703911,1.278542,13.392824,0.269956,8.86356,0.449927,18.379515,1.769712,9.066027,23.928612,0.644895,4.637997,9.22725,4.068089,5.897792,b
3.336466,1.99718,38.510338,1.221804,23.801691,0.516917,0.117481,1.033835,54.746239,13.674812,16.047932,3.641917,0.140977,7.94173,7.871241,0,2.208647,6.719924,0.422932,9.022556,b
0.067182,0.033591,19.381927,4.702721,0,1.881088,0.033591,7.591535,7.625126,25.327509,17.601612,4.030903,0,30.131002,88.310379,12.227074,1.041317,6.650991,0.033591,13.335572,b
0.029883,0.154398,11.624664,2.395657,0,1.613707,0.029883,6.111166,1.215261,20.649467,19.927284,2.16157,0.004981,19.543779,61.365677,12.222333,0.672378,5.174818,0.029883,11.754159,b
0.147131,0,16.184404,4.413929,0,2.305052,0.049044,8.827857,7.601766,21.971556,11.868564,3.433055,0,31.486023,57.724373,11.623344,0.784698,5.78715,0.098087,12.064738,b
0,0,12.944298,1.962865,30.822281,1.485411,0,2.546419,20.636604,21.856764,17.559681,1.697613,0,7.161804,5.464191,0,0.901857,10.079576,0.318302,14.854111,b
1.843658,1.106195,44.321533,3.171092,0,3.908555,0.147493,10.619469,50.442474,16.961653,13.938053,2.581121,0.147493,23.451326,60.250736,9.218289,0.884956,4.277287,0.58997,12.758112,b
0.028812,0.098442,15.035174,3.887248,0,1.843982,0.014406,3.308603,9.419194,12.977502,25.717302,2.02886,0.009604,19.930849,75.015007,10.261951,1.34457,4.696391,0.02401,6.81649,b
0.042472,0.063708,12.741558,2.484604,0,1.422807,0.074326,5.362072,19.016777,17.424082,16.479082,2.45275,0,24.835421,68.071777,12.964537,0.562752,5.266511,0.063708,9.662349,b
7.522403,1.602928,89.814468,3.723337,0,6.058311,0.504859,12.924397,0.328159,25.356558,21.620598,1.918465,0.25243,24.574024,100,12.987505,1.855358,5.149565,0.68156,25.078884,b
5.422647,1.203422,53.791504,1.971872,0,4.567204,0.46397,9.656373,0.15949,22.734524,17.166883,1.739887,0.275482,29.172104,84.6455,12.91866,1.362911,5.016674,1.145426,17.906336,b
0.02213,0.227337,15.493099,0.941536,0,0.018106,0.018106,0.356094,67.577354,6.92673,24.481955,0.57136,0.014083,16.171085,55.649216,8.339033,0.247455,5.800105,0.054319,10.185893,b
0.024772,0,5.224947,0.186741,34.831074,0.150536,0.001906,0.139103,50.751728,13.508261,18.895178,0.247718,0,4.258846,2.608662,0,0.007622,7.029478,0.076221,7.240991,b
4.107981,3.169014,46.596245,1.995305,23.943663,1.056338,0.704225,1.877934,79.225349,14.906104,15.492958,3.521127,0.117371,7.86385,7.159624,0,3.051643,8.215962,0.352113,13.262911,b
0.628492,11.894786,100,10.063625,0,6.339231,0.201738,6.564246,0.100869,9.272191,0.519863,11.561142,0.263811,10.505897,16.216637,0.139665,4.461514,6.634078,1.256983,3.631285,b
10.336538,3.846154,100,12.5,18.26923,0,0.480769,0.240385,51.923077,20.913462,9.615385,5.528846,0.240385,10.096153,11.298077,0,2.163462,4.807693,0.240385,18.26923,b
0.872648,1.554404,100,4.090537,0,2.127079,0.299973,11.698936,15.762204,7.390238,4.690483,2.481593,0.02727,10.199073,30.188164,2.863376,5.426779,8.181074,0.572675,5.972184,b
0.165071,0.066028,18.256851,4.655002,0,1.848795,0.066028,7.626279,6.866953,25.321888,12.941565,3.565533,0.033014,32.386925,67.018822,12.908551,0.594256,6.008584,0.066028,13.172664,b
2.076843,0.726895,37.175495,2.38837,0,2.38837,0.207684,6.645898,67.082039,34.16407,12.46106,0.415369,0.415369,24.195223,50.674976,8.515057,0.311526,3.946002,0.311526,10.5919,b
19.480518,7.292707,100,4.695305,0.0999,0,0.1998,0,0.599401,10.38961,0.1998,12.187813,0.14985,1.648352,6.593407,0,2.547453,5.344656,2.197802,2.997003,b
0.053079,0.106157,15.472399,3.237792,0,1.698514,0.026539,5.812102,4.193206,25,18.07325,4.007431,0,27.99894,56.157112,10.615711,0.583864,13.455413,0.026539,15.897028,b
18.346651,2.366318,91.748619,4.625077,23.079287,0.799017,0.507068,0.64536,55.208977,15.795943,19.31469,4.855562,0.199754,8.527966,9.004302,0,2.489244,7.990166,0.921942,10.064535,b
17.269014,2.419862,86.957893,5.138278,24.465744,0.801383,0.408548,0.644249,54.651165,15.933375,20.270269,4.714016,0.361408,9.632306,8.563796,0,2.498429,10.229416,0.848523,10.072281,b
8.294209,1.956182,47.809074,3.521127,22.535212,0.86072,0.078247,1.173709,54.460098,9.702661,17.840376,2.973396,0,6.025039,6.103287,0,2.738654,6.57277,0.156495,12.989046,b
0,0.021692,6.876355,1.149675,0,0.455531,0,2.9718,1.561822,15.444686,26.702822,0.780911,0,18.655098,68.177872,14.208242,0.563991,2.321041,0.021692,14.685467,b
0.135823,0.033956,12.937182,3.225806,0,1.528014,0.067912,6.078098,17.113752,19.626486,11.341257,2.37691,0,27.674023,54.872669,11.06961,0.509338,5.263158,0.067912,9.881154,b
2.285714,0.489796,50.448978,3.346939,0,7.346939,0.081633,24.489796,84.32653,20.081633,11.183673,2.122449,0.163265,28.979591,77.877548,10.612245,2.204082,3.591837,0.408163,14.693877,b
2.306214,1.008969,29.724535,1.857783,0,1.553491,0.256246,9.753364,66.928253,14.237668,12.8123,1.07303,0.352338,20.451633,56.310059,8.504164,1.361307,2.14606,0.496477,10.393978,b
0.799087,8.219178,100,3.767123,0,11.52968,0.342466,11.986301,0,16.09589,0.456621,18.264841,0.684932,6.96347,27.283106,0.114155,3.424658,4.680366,2.16895,5.136986,b
100,3.658838,33.420448,3.997881,0,9.468479,6.607805,7.504856,18.619106,7.939254,5.075048,3.637648,21.349108,12.110188,40.109482,3.84955,2.147272,3.037259,4.718347,6.802049,b
1.55727,9.042837,100,6.476495,0,8.276331,0.422064,11.395721,0.194052,10.163489,0.975113,11.861446,0.388105,5.496531,18.789114,0.126134,3.580265,7.538932,1.348663,5.069616,b
